statistic,policy,value,method,T,K,noise_func,noise_scale,floor_start,floor_decay,initial,dgp
bias,0,-0.00129886560192094,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,0,1.0,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,0,1.6870518518534455e-06,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,0,0.006170022120184325,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,1,-0.07874395800929301,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,1,1.0,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,1,0.006200610922969301,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,1,0.16246690662333532,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,2,0.06687170213386762,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,2,1.0,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,2,0.004471824546280714,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,2,0.10997768846828768,uniform,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,0,0.0016258318324642307,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,0,1.0,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,0,2.6433291474539984e-06,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,0,0.0038124125278576437,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,1,-0.01564736532300781,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,1,1.0,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,1,0.00024484004155166735,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,1,0.018727371037934013,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,2,0.0017768773547159888,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,2,1.0,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,2,3.15729313370249e-06,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,2,0.006346444520689141,lvdl,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,0,0.000533847672588017,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,0,1.0,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,0,2.849933375276426e-07,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,0,0.00515109158822541,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,1,-0.012382241107015468,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,1,1.0,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,1,0.00015331989483226364,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,1,0.016829763195293095,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
bias,2,0.0027356409922072444,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
90% coverage of t-stat,2,1.0,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
mse,2,7.4837316382446365e-06,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
CI_width,2,0.006392049670215899,two_point,100000,3,uniform,1.0,0.3333333333333333,0.7,5,nosignal
